9034,16923
8764,3858
15461,18675
5700,4012
6449,14654
364,12049
18711,1624
8897,17240
3974,14355
12918,2854
16271,7122
8371,13797
1140,16646
11303,16862
3561,2495
19662,4597
8051,6203
12029,0
1504,4117
17558,7536
17017,3965
3366,18786
342,11472
16016,18242
9515,8288
3640,7189
5932,4934
7131,3339
10302,16597
12222,6385
14676,18396
12547,16729
16856,12041
19728,12565
12671,12330
9944,3070
5383,3905
14875,2111
17885,11915
507,19686
541,11877
17260,758
11109,3528
12116,4726
9036,16070
14495,17752
8040,14769
3208,13807
14483,12773
15532,14931
18100,15726
18014,5638
18825,9559
19140,10917
12599,12207
3674,6462
2321,18569
3654,11300
11862,11947
10032,5567
1455,8086
5051,15375
4082,2008
9999,12465
1328,15861
17897,13837
17109,19553
2816,4840
8970,573
7912,17841
17497,3123
1224,13637
12578,5304
14127,18547
1205,15388
14902,9573
12107,5131
4198,663
5792,19575
14282,16527
12296,4983
19353,18620
12372,18669
16484,9586
3926,14553
7642,19516
2749,10646
6636,9925
2662,17050
12276,2336
13220,1676
2507,11342
7561,19315
6487,1535
14319,14621
13290,11881
16323,10179
2819,18367
395,16365
18081,12974
4062,8281
8112,3299
428,12327
3959,718
12374,4845
12071,14110
6581,8776
13549,2993
8525,2585
15388,15855
12033,3751
19012,10620
11458,10054
9951,16928
6123,2648
4467,5079
4004,3719
9913,10110
3925,6489
13707,13128
3215,12905
1135,14026
18852,18816
13720,14023
11642,9581
8465,15442
3012,13100
3578,10842
11738,1445
4653,7373
650,6916
9005,5550
8563,816
3974,14317
18387,5928
926,9105
18353,6830
9406,5101
12686,18960
19896,19520
7260,3595
12061,8059
16326,15439
12765,3202
1551,3115
16585,5453
12614,14062
6342,5202
10182,2172
236,5497
10816,19013
2368,17709
18938,9904
16252,18523
18871,6818
1605,15211
14615,12873
17487,3261
2410,19955
5343,15698
7448,15027
128,9416
18725,4499
2581,5162
13522,14165
6373,11711
19805,9212
16569,5479
2592,7175
18833,636
2618,9815
9562,14343
17001,4950
5827,18998
1157,8948
4778,15086
5349,10457
17962,4106
11145,11561
141,3260
16500,9185
2990,9729
6834,462
2617,1246
3799,4948
1026,2563
6245,11033
3977,13986
9870,9549
7234,2618
12844,2827
10632,2379
16712,5273
18366,19714
2616,8737
6380,3682
14672,16115
14097,10457
5607,15514
4394,19215
5959,6672
1409,11419
8422,3071
12768,9255
16800,7874
19603,11392
15106,14956
5765,2486
6990,9492
4484,9379
1098,11963
12404,16907
3795,14259
7840,791
16674,18950
19222,8060
6831,14604
11220,2353
19814,175
17226,6986
1573,10727
18635,12293
902,19345
1446,4457
16579,8460
16056,15191
9607,3438
1375,12894
15078,3320
15657,18735
18795,18305
12276,10732
4336,2615
4457,14598
16849,1689
9807,18375
10291,9511
8670,7854
10396,10011
652,13808
19931,16321
8864,8052
17096,13932
227,10847
8137,16294
4711,14945
14164,4794
17097,11252
18174,13729
6646,4067
8538,6874
3080,1787
15435,14356
10365,13178
11378,1588
2042,16570
8505,3760
16447,19635
8536,15567
4252,10605
4527,11191
16891,17165
6044,17975
6166,8128
16203,7184
7396,1240
14248,1448
10779,1728
10594,207
2730,11908
1678,7490
3619,14091
17368,4888
2333,9108
185,16428
12356,17271
9837,18948
15845,18171
12343,3754
7090,4934
3369,3477
5633,14031
18796,3387
10625,15955
5958,11003
18846,239
16431,2530
6835,3834
6429,13858
10808,3753
17861,7683
14904,8579
1287,17181
3259,10321
5809,18700
10179,17203
5969,3337
11306,6270
14605,7430
9842,5248
18643,8732
54,2041
17809,3223
7659,199
11034,12015
602,8099
18238,2233
2718,15677
18024,13074
18017,1795
8142,15064
16265,14372
4843,9517
5682,329
11055,7787
14882,13682
1099,15822
102,15993
18781,17455
19648,3320
11449,9544
4052,10157
16949,19307
10191,261
5335,9144
1443,6107
16089,16945
6217,1737
11695,16574
14539,16126
19168,2919
19364,10862
8433,4635
19885,9136
12761,1054
3709,14534
11424,6129
12052,4767
13662,14495
9841,18268
17890,16158
7072,13904
15271,5526
548,15665
19737,19025
9927,7354
6262,14745
15850,13210
9611,6207
7861,15281
9145,8597
14978,2855
2983,10532
15526,14655
10140,3687
4187,16759
13659,3845
10873,3576
4974,2918
11761,13590
9476,8254
5559,18313
1007,14523
6436,11802
6250,14069
0,3487
18763,1845
1658,18567
10831,12785
7657,6231
8303,5908
9674,6539
4836,16705
18238,10784
5084,5120
5400,4512
1579,18131
18619,18224
10167,7379
11,5300
8271,15802
2573,7713
3466,16236
2140,13792
11132,5796
2612,6442
6210,13876
9208,8704
3627,4160
16345,7770
1579,15925
5305,1220
19230,19048
3867,2258
6243,3290
18858,15945
15050,4629
2809,11338
18869,1230
17629,198
13272,8004
13622,7843
19105,14131
7529,19321
13673,12617
7824,7035
16492,1675
385,8757
1339,19863
11196,10686
16226,19836
13462,17457
1976,793
12167,2183
8413,11895
6958,3578
13185,14002
3432,14633
7404,4364
12067,7528
12509,6568
4984,4947
3556,15335
16224,11770
4215,15468
8616,16947
17678,9576
8041,18265
6944,15279
5004,150
3014,2181
3675,2417
11111,9554
9699,2387
9346,2150
7137,13024
8828,15248
16507,6137
11399,19221
6865,16197
4079,16117
4678,5348
7660,8244
7464,10394
3477,16562
3399,1949
18500,18546
18438,13919
15768,9292
7549,2028
10768,10347
10203,6890
7314,176
2784,16519
10513,15015
12027,3004
16987,4505
8277,18193
8317,17169
13450,9651
1575,3667
12994,12772
8510,6826
9728,4232
3107,2360
4817,14691
9811,279
4231,17660
12963,15924
19552,1161
16080,14959
1582,4726
7477,708
7354,14402
2462,14471
8701,12901
8212,7361
16142,5248
15198,9554
10676,3411
10582,835
3942,16023
1181,19125
10917,18967
3814,16317
2647,4781
19400,18440
8621,4080
11276,1178
7021,14898
10151,2128
5167,9045
16925,2876
9821,15814
4547,6456
3402,9665
19437,14655
19338,18716
1992,18929
1915,7672
8253,15379
4682,17794
8791,9606
95,11671
5620,5346
8802,9264
12768,7032
5735,17391
3958,14937
6901,17927
5403,899
13384,3486
4862,9481
18550,5921
16536,16089
18797,3146
1234,10604
8181,14059
14886,3777
19186,12551
